Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,1528,1528,63,1818
Audi,R8,226.38,6.5,368.67,4857.0,petrol,1559,1559,76,1751
Honda,Concerto,16.67,4.5,74.0,1541.5,petrol,1049,1049,93,1735
Honda,Legend,69.4,5.0,173.0,3358.67,petrol,1433,1433,96,1727
Peugeot,Expert,21.66,5.76,90.86,1809.71,diesel,1373,1373,70,1697
Fiat,Qubo,16.7,5.0,54.0,1360.0,petrol,1026,1026,71,1679
Dodge,Journey,37.77,5.56,114.0,2184.0,diesel,1077,1077,70,1660
Renault,Wind,22.49,5.0,80.0,1261.25,petrol,470,470,83,1645
Nissan,Bluebird,14.44,4.9,64.2,1891.7,petrol,1248,1248,36,1633
Audi,100,37.33,4.76,101.12,2349.08,petrol,1291,1291,88,1626
Mazda,Xedos,28.96,4.4,100.8,1936.6,petrol,1150,1150,83,1508
Volkswagen,Phaeton,146.27,5.77,234.85,4089.92,petrol,1309,1309,78,1499
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,1273,1273,41,1480
Volvo,V60,50.48,7.3,150.61,1969.0,diesel,1091,1091,116,1464
Volkswagen,Vento,18.17,4.69,70.31,1932.15,petrol,1027,1027,68,1420
Audi,RS6,175.84,7.0,433.5,4493.5,petrol,1215,1215,59,1383
Ford,Orion,15.4,5.0,60.11,1593.11,petrol,1044,1044,34,1341
Daewoo,Nexia,12.48,4.67,58.67,1498.0,petrol,802,802,59,1336
Kia,Mentor,14.76,4.67,75.0,1594.0,petrol,838,838,67,1333
Renault,Trafic,37.05,6.0,91.44,1773.82,diesel,1069,1069,56,1324
Mitsubishi,Pajero,45.78,4.81,106.3,2768.51,diesel,953,953,58,1275
Audi,A7,87.12,8.0,190.0,2967.0,diesel,1120,1120,39,1268
Mazda,MPV,35.3,5.0,102.0,2129.0,petrol,800,800,88,1260
Porsche,Carrera,646.6,6.0,450.0,5733.0,petrol,1083,1083,55,1241
Opel,Zafira,35.27,6.0,112.07,1574.43,petrol,749,749,85,1238
Volvo,460,20.5,4.14,72.43,1824.43,petrol,830,830,67,1233
