Manufacturer,Model,Price,Car Transmission,Power (BHP) of the car,Engine size in CC,Type of fuel,Number of male owners,Number of female owners,Gender unclassified,Total number of owners
Volkswagen,Corrado,35.34,5.0,118.0,1781.0,petrol,1754,1754,80,2030
Toyota,Supra,81.3,8.0,250.0,2998.0,petrol,1766,1766,56,2010
Fiat,Marea,20.12,4.88,79.88,1836.88,petrol,1449,1449,102,1969
Nissan,Serena,22.95,5.0,67.33,1908.17,petrol,1358,1358,100,1963
Mercedes,Vaneo,28.97,5.0,72.62,1707.12,petrol,1196,1196,172,1947
Porsche,Panamera,173.51,8.0,329.0,3307.25,petrol,1639,1639,70,1939
Daihatsu,Copen,23.81,5.0,64.0,1298.0,petrol,543,543,153,1922
Honda,Logo,13.38,2.5,48.0,1343.0,petrol,754,754,112,1905
Mini,Paceman,37.72,6.0,104.22,1684.3,petrol,786,786,96,1888
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,1398,1398,131,1853
Volvo,960,40.76,4.33,133.33,2634.22,petrol,1409,1409,103,1817
Mazda,Tribute,38.02,4.5,129.5,2614.0,petrol,1162,1162,100,1798
BMW,M135i,57.97,7.0,225.0,1998.0,petrol,1492,1492,73,1782
Honda,Shuttle,30.08,4.0,110.0,2254.0,petrol,1193,1193,124,1753
Renault,Trafic,37.05,6.0,91.44,1773.82,diesel,1386,1386,72,1740
Dodge,Journey,37.77,5.56,114.0,2184.0,diesel,1109,1109,74,1716
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,1532,1532,52,1705
Volkswagen,Phaeton,146.27,5.77,234.85,4089.92,petrol,1476,1476,85,1682
Subaru,Justy,11.74,5.0,51.0,998.0,petrol,770,770,96,1679
Chevrolet,Orlando,33.44,5.64,108.36,1906.18,diesel,1096,1096,119,1676
Mercedes,Vito,37.31,5.68,102.73,2118.94,diesel,1433,1433,94,1675
Ford,Granada,18.85,4.08,87.08,2326.36,petrol,1461,1461,48,1665
Peugeot,Bipper,17.32,5.0,55.0,1360.0,petrol,938,938,76,1653
Nissan,370Z,85.05,6.5,242.0,3696.0,petrol,1270,1270,46,1511
Audi,RS6,175.84,7.0,433.5,4493.5,petrol,1264,1264,53,1412
Mini,John,44.85,6.5,170.0,1998.0,petrol,843,843,61,1386
Toyota,Hilux,46.6,6.0,110.0,2393.0,diesel,1105,1105,56,1345
Honda,Legend,69.4,5.0,173.0,3358.67,petrol,1121,1121,75,1334
Mazda,MX-3,22.13,5.0,83.0,1721.5,petrol,679,679,67,1266
Maserati,GranCabrio,245.17,6.0,338.0,4691.0,petrol,1141,1141,46,1264
Ford,Scorpio,30.86,4.45,105.55,2458.91,petrol,1056,1056,53,1261
Ssangyong,Rodius,57.59,5.43,121.0,1998.0,diesel,793,793,65,1261
Ford,Mustang,74.61,3.2,239.2,3640.2,petrol,1118,1118,29,1242
Mazda,121,13.19,5.0,51.33,1431.33,petrol,528,528,64,1189
Audi,Coupe,35.87,5.59,117.02,1980.63,petrol,987,987,45,1175
Honda,Integra,17.53,4.6,78.4,1549.8,petrol,1008,1008,22,1142
Porsche,Carrera,646.6,6.0,450.0,5733.0,petrol,975,975,50,1108
Fiat,Croma,34.33,5.59,105.0,1962.06,diesel,786,786,49,1106
Opel,Zafira,35.27,6.0,112.07,1574.43,petrol,675,675,79,1104
Nissan,GT-R,177.5,6.0,419.0,3799.0,petrol,990,990,41,1082
Citroen,DS5,42.56,6.0,123.27,1832.33,diesel,882,882,39,1081
Ssangyong,Korando,37.9,6.0,116.08,1998.0,diesel,786,786,35,1080
Peugeot,309,14.35,4.88,59.5,1642.88,petrol,770,770,46,1056
Audi,100,37.33,4.76,101.12,2349.08,petrol,830,830,39,1037
Audi,Quattro,61.24,5.0,147.0,2144.0,petrol,928,928,37,1027
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,781,781,33,1014
Ford,Focus,30.62,5.97,94.03,1497.17,petrol,796190,796190,55632,1273125
Ford,Fiesta,18.53,5.71,68.57,1166.14,petrol,533595,533595,51752,1198637
Volkswagen,Golf,31.24,6.16,89.46,1537.41,petrol,471514,471514,46958,824931
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,245569,245569,29419,608272
BMW,320i,47.85,6.44,126.11,1995.78,petrol,402404,402404,29479,550977
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,209196,209196,31568,534808
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,186795,186795,27961,495435
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,388535,388535,18006,484228
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,151025,151025,27535,443983
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,225326,225326,22917,420978
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,105612,105612,21570,412560
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,244214,244214,21581,402209
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,127757,127757,26065,358624
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,200376,200376,16921,284960
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,212442,212442,14718,276242
Audi,A4,57.93,6.16,149.71,2283.11,petrol,198805,198805,13635,272157
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,138974,138974,14903,269772
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,158473,158473,12325,265774
Peugeot,207,21.7,4.9,79.77,1536.0,petrol,94625,94625,12382,241501
Audi,A3,36.22,6.47,94.33,1424.67,petrol,131091,131091,13166,232858
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,111626,111626,12747,196677
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,101816,101816,9837,193320
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,114197,114197,9472,182301
Citroen,C3,22.9,5.41,75.65,1364.0,petrol,71533,71533,9045,172236
BMW,118i,37.43,6.2,104.2,1796.6,petrol,85622,85622,10002,169590
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,128052,128052,9958,168970
BMW,535i,93.71,8.0,225.0,2979.0,petrol,136621,136621,9135,166883
Land-Rover,Discovery,107.45,8.0,182.57,2425.43,diesel,114999,114999,6512,152064
Renault,Scenic,32.06,5.96,89.35,1472.83,diesel,82971,82971,7948,151720
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,118619,118619,9106,150215
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,88331,88331,8839,148234
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,69228,69228,5781,144151
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,106494,106494,5816,137125
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,51512,51512,9522,128418
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,94411,94411,5623,126471
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,88266,88266,6924,124892
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,57846,57846,8184,121077
Citroen,C4,29.26,5.95,90.62,1462.36,petrol,71223,71223,4872,113825
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,66910,66910,5215,108298
Fiat,500L,26.29,5.6,74.73,1186.33,diesel,25022,25022,6301,106655
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,80809,80809,4727,105599
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,80938,80938,5917,104304
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,51565,51565,4687,103520
Nissan,Qashqai+2,34.94,5.25,97.72,1820.66,diesel,55455,55455,7595,102098
Audi,A6,82.06,7.73,199.73,2790.45,diesel,79932,79932,5409,99778
Jaguar,XE,65.57,8.0,167.25,1998.0,petrol,80960,80960,4056,99721
Peugeot,107,11.14,5.0,50.0,998.0,petrol,28808,28808,4917,97048
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,47502,47502,4307,95825
Ford,Fusion,19.38,4.86,61.27,1470.91,petrol,50901,50901,4202,95173
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,62488,62488,5249,94077
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,46762,46762,6032,94012
Kia,Picanto,16.59,5.0,52.85,998.0,petrol,33457,33457,3308,93545
Toyota,Aygo,15.21,5.0,53.0,998.0,petrol,29302,29302,6785,92708
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,60942,60942,3413,92267
Mazda,6,42.67,5.91,118.19,2095.19,petrol,70401,70401,4330,91737
Nissan,Note,19.32,5.0,66.43,1348.29,diesel,48036,48036,4404,88598
Hyundai,I10,16.01,5.0,51.78,998.0,petrol,32927,32927,3044,85860
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,33203,33203,5809,85317
Mazda,3,31.0,5.79,101.89,1905.63,petrol,49655,49655,4231,85221
Audi,TT,64.59,6.78,178.56,2011.56,petrol,43118,43118,5392,83573
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,61464,61464,4569,80758
Citroen,C1,13.49,5.0,52.38,1028.92,petrol,27305,27305,3656,79659
Peugeot,308,32.33,5.89,103.11,1482.5,petrol,44024,44024,3375,78604
Mazda,2,21.6,6.0,64.62,1496.0,petrol,27246,27246,4140,76860
Peugeot,406,28.61,4.76,92.82,2043.82,petrol,60125,60125,3559,76854
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,31900,31900,4095,74835
Nissan,Primera,26.51,4.02,93.59,1933.02,petrol,50957,50957,3959,69156
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,15748,15748,4588,67683
Rover,75,39.35,5.0,98.05,1928.71,petrol,53513,53513,2747,65687
Ford,Escort,16.21,4.46,63.56,1650.21,petrol,46180,46180,2544,65615
Volkswagen,Touran,32.99,6.23,94.04,1528.81,diesel,38145,38145,4206,65055
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,36370,36370,3815,64939
BMW,X5,113.27,8.0,246.33,2994.67,diesel,44046,44046,3200,61367
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,39339,39339,3733,60390
Hyundai,Getz,13.64,4.71,69.0,1424.86,petrol,24971,24971,2806,60191
Kia,Rio,22.96,6.29,80.0,998.0,petrol,32920,32920,1934,59421
Nissan,X-Trail,47.36,3.75,113.38,1774.81,diesel,41320,41320,2467,58436
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,36270,36270,2708,54639
Peugeot,407,38.73,5.54,114.65,2178.19,diesel,42242,42242,2279,53714
Citroen,C2,15.14,5.0,64.0,1382.75,petrol,21391,21391,2477,53044
Mercedes,SLK,61.86,6.83,184.17,2748.33,petrol,23022,23022,3626,51401
Mercedes,ML,77.42,7.0,188.33,2876.0,diesel,33840,33840,2998,50451
Mitsubishi,Colt,17.04,5.3,73.49,1374.05,petrol,21401,21401,2798,49760
Kia,Ceed,26.98,5.86,88.09,1460.8,petrol,30071,30071,1514,47530
Jaguar,S-Type,66.59,5.74,172.32,2934.63,petrol,39156,39156,1993,46554
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,17302,17302,3497,45570
Citroen,C5,34.91,5.6,104.23,1805.92,diesel,36186,36186,1977,45321
Ford,S-MAX,47.52,6.0,128.89,1886.56,diesel,27360,27360,1976,44627
Rover,2000,17.18,5.0,74.0,1994.0,petrol,26230,26230,2050,44277
Hyundai,I20,21.85,6.09,70.73,1052.27,petrol,21175,21175,1454,42796
Rover,45,23.32,3.75,84.2,1853.9,petrol,30561,30561,1853,42748
Volvo,V40,35.81,6.29,117.43,1921.47,petrol,28459,28459,2472,41813
Hyundai,I30,28.61,5.95,100.59,1387.62,petrol,25673,25673,1528,41693
Volvo,V50,36.52,5.18,113.35,2106.5,petrol,28040,28040,2338,41399
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,25342,25342,1305,40224
Volkswagen,Bora,25.4,4.65,78.85,1891.59,petrol,28811,28811,1970,39616
Jaguar,XF,78.75,8.0,176.25,1997.0,diesel,34071,34071,1497,39203
Volvo,XC90,85.83,8.0,213.15,1969.0,petrol,24389,24389,2622,38777
Subaru,Impreza,30.6,1.8,97.6,1757.6,petrol,30041,30041,1528,38224
Saab,09-May,52.96,5.65,146.12,2031.47,petrol,29522,29522,2027,37648
Nissan,Juke,28.23,6.45,86.0,999.0,petrol,15328,15328,3564,37282
Toyota,Celica,31.53,5.17,109.67,1861.83,petrol,25664,25664,1946,37051
Jaguar,XJ,137.57,8.0,223.55,2813.0,petrol,32310,32310,1571,36713
MG,ZR,21.02,5.0,92.33,1729.33,petrol,22209,22209,1527,35891
Audi,A5,59.43,7.0,150.45,1981.82,petrol,26700,26700,1613,35126
BMW,X3,76.59,8.0,184.0,2396.4,petrol,20343,20343,2229,35033
Volkswagen,Sharan,45.7,6.0,114.0,1854.2,diesel,24087,24087,2706,34900
Porsche,911,158.79,7.47,293.53,3005.4,petrol,29319,29319,1587,34267
Mazda,323,17.34,4.75,70.92,1683.61,petrol,19790,19790,1962,33812
Ford,Puma,30.38,6.31,94.06,935.62,petrol,12866,12866,2123,33159
Chrysler,Voyager,39.71,4.84,117.58,2719.84,diesel,20696,20696,1793,32701
Volvo,S60,52.08,8.0,223.83,1969.0,petrol,25713,25713,1762,32465
Smart,Fortwo,19.97,2.81,55.38,592.56,automatic,15348,15348,1777,32018
Hyundai,Santa,44.14,6.55,144.64,2242.64,diesel,21659,21659,1386,31917
Mercedes,B,41.39,7.29,105.71,1545.43,diesel,16257,16257,1783,31487
Fiat,Stilo,22.78,5.27,92.36,1837.36,petrol,18353,18353,1608,30675
Audi,A1,27.08,6.23,86.64,1377.57,petrol,11917,11917,1305,30468
Renault,Modus,17.82,4.67,70.33,1298.67,petrol,13694,13694,1645,30302
Hyundai,Accent,14.29,4.6,75.4,1479.0,petrol,16828,16828,1596,29545
Volkswagen,Tiguan,44.31,6.71,108.0,1663.93,petrol,17019,17019,1364,29204
Suzuki,Wagon,9.86,5.0,50.0,1090.4,petrol,13486,13486,1977,28979
Suzuki,Jimny,25.94,4.78,67.0,1372.67,petrol,13704,13704,1951,28738
Chevrolet,Matiz,9.49,4.91,40.82,850.27,petrol,9662,9662,1640,28699
BMW,Z4,64.11,6.75,202.12,2778.0,petrol,18193,18193,1737,28115
Kia,Sorento,36.01,6.0,151.67,2048.67,petrol,19736,19736,814,27790
Porsche,Boxster,83.5,6.5,213.5,3071.0,petrol,19388,19388,1576,27299
Renault,Espace,59.0,7.0,166.0,1798.0,petrol,16898,16898,1429,25120
Volkswagen,Lupo,13.88,4.75,47.75,1373.75,petrol,8658,8658,1393,23836
Fiat,Seicento,8.17,5.0,40.0,1108.0,petrol,9204,9204,1305,23695
Seat,Altea,27.13,5.77,96.05,1774.78,diesel,13523,13523,902,23420
Volvo,C30,32.49,5.3,113.28,2093.02,petrol,12762,12762,1324,23360
Mercedes,Sprinter,43.07,6.25,104.2,2222.71,diesel,19018,19018,1656,22968
Seat,Alhambra,49.82,6.0,115.83,1746.94,petrol,15165,15165,1335,22258
Renault,Kangoo,18.77,4.86,67.02,1391.02,diesel,13174,13174,1323,22014
Suzuki,Ignis,19.45,3.57,61.0,1197.0,petrol,9972,9972,1573,21985
Fiat,Bravo,22.46,6.0,92.31,1466.31,petrol,12542,12542,919,21088
Mazda,5,22.13,5.5,75.09,1622.68,petrol,11717,11717,1026,21055
Alfa-Romeo,147,25.34,5.19,95.1,1802.77,petrol,12874,12874,1176,20713
Kia,Carens,31.2,6.0,105.88,1755.75,petrol,13628,13628,834,20644
Volkswagen,Jetta,31.31,6.26,96.93,1587.22,petrol,15266,15266,933,20474
Toyota,MR2,34.19,6.0,103.0,1794.0,petrol,12914,12914,1024,20376
Volkswagen,Scirocco,33.71,6.15,120.15,1750.62,petrol,13806,13806,883,20286
Citroen,DS3,23.36,5.25,81.29,1410.36,petrol,9308,9308,675,20201
MG,TF,32.09,4.0,98.2,1754.4,petrol,10578,10578,1030,19277
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,15878,15878,982,19268
Volvo,S80,50.94,6.27,138.28,1986.77,diesel,15426,15426,1042,18899
Peugeot,Partner,20.36,5.86,82.25,1534.39,diesel,12611,12611,894,18804
Suzuki,SX4,20.67,4.75,88.0,1586.0,petrol,9604,9604,1066,18525
Volkswagen,Touareg,94.1,8.0,190.0,2967.0,diesel,12911,12911,827,18356
Chrysler,PT,29.88,4.74,109.11,2238.63,petrol,10101,10101,1104,18233
BMW,740i,115.53,8.0,250.0,2998.0,petrol,15505,15505,1085,18193
Alfa-Romeo,156,32.9,5.33,116.29,2081.38,petrol,13832,13832,855,17832
Peugeot,3008,40.98,7.31,114.27,1352.58,petrol,11275,11275,645,17682
Volkswagen,Fox,12.5,5.0,48.67,1336.67,petrol,6133,6133,966,17650
Mitsubishi,Lancer,23.02,4.73,90.88,1709.54,petrol,13101,13101,597,17519
Skoda,Felicia,11.37,5.0,48.0,1518.0,petrol,10481,10481,892,17356
Hyundai,Matrix,18.51,4.6,76.0,1599.0,petrol,9969,9969,767,17292
BMW,M3,135.11,6.5,309.0,3999.0,petrol,14972,14972,680,17126
Toyota,Previa,43.08,4.67,105.0,2239.67,petrol,11396,11396,1229,16993
Audi,A2,23.05,5.0,55.0,1406.0,petrol,7561,7561,1251,16803
Fiat,Doblo,25.17,5.52,79.31,1523.74,diesel,11576,11576,881,16756
Toyota,Starlet,11.39,4.14,53.0,1308.29,petrol,6981,6981,955,16637
BMW,Z3,39.74,4.6,115.0,2234.4,petrol,9912,9912,1023,16578
Volkswagen,Eos,42.29,6.0,113.8,1740.0,petrol,6484,6484,1272,16403
Skoda,Superb,39.72,6.8,110.0,1592.0,petrol,13837,13837,614,16387
Renault,Twingo,14.94,5.2,59.6,958.6,petrol,5786,5786,592,16240
Audi,Q7,106.55,8.0,210.0,2976.33,diesel,11314,11314,880,16100
Volvo,C70,52.2,5.31,126.5,2323.94,petrol,10304,10304,913,16004
Mercedes,SLS,264.68,7.0,420.0,6208.0,petrol,11682,11682,875,15652
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,10991,10991,755,15511
Subaru,Legacy,37.52,3.9,107.38,2084.38,petrol,11166,11166,920,15399
Audi,Q5,64.51,6.85,144.23,2048.54,diesel,9404,9404,751,15249
Toyota,IQ,17.32,3.67,58.44,1152.89,petrol,5880,5880,1144,14714
Toyota,Carina,17.45,4.69,68.27,1791.23,petrol,10578,10578,821,14707
Nissan,Terrano,37.02,4.74,97.58,2697.37,diesel,10495,10495,668,14675
Rover,Mini,7.92,4.0,33.33,868.33,petrol,8465,8465,613,14558
Hyundai,Tucson,41.59,6.46,111.31,1624.77,petrol,9185,9185,539,14534
MG,ZT,42.75,5.0,128.5,2548.83,petrol,11854,11854,471,14048
Chevrolet,Kalos,14.22,4.73,64.45,1353.36,petrol,6213,6213,771,13941
BMW,X1,51.44,7.2,123.93,1863.13,diesel,7669,7669,919,13868
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,7999,7999,749,13845
Hyundai,Ix35,38.9,5.84,113.84,1926.0,diesel,8559,8559,357,13692
Daihatsu,Sirion,14.33,4.56,59.88,1183.25,petrol,5446,5446,749,13598
Ford,Streetka,26.0,5.0,70.0,1597.0,petrol,2120,2120,896,13337
Honda,FR-V,33.13,5.29,103.0,1914.71,petrol,7187,7187,764,13191
Skoda,Roomster,20.92,5.38,68.88,1272.44,petrol,7741,7741,660,13169
Seat,Arosa,13.7,4.82,47.45,1384.0,petrol,5074,5074,652,13020
Chevrolet,Lacetti,18.76,4.71,80.43,1612.93,petrol,8265,8265,656,12939
Volvo,XC70,58.47,6.44,148.52,2174.04,diesel,9249,9249,870,12895
Skoda,Yeti,30.35,6.3,83.5,1452.3,petrol,8430,8430,522,12572
Chevrolet,Aveo,18.61,5.2,69.6,1330.4,petrol,6007,6007,603,12496
Porsche,Cayenne,158.98,8.0,326.0,3295.0,petrol,8810,8810,633,12460
Nissan,Pixo,9.47,4.67,50.0,996.0,petrol,4471,4471,543,12300
Land-Rover,Defender,108.75,7.85,207.61,2304.98,diesel,9333,9333,667,12222
Honda,HR-V,32.72,3.6,96.0,1498.0,petrol,6703,6703,777,12213
Fiat,Multipla,25.21,5.0,80.5,1753.0,petrol,6996,6996,746,12112
Mitsubishi,Outlander,37.45,2.61,120.33,2085.06,petrol,7870,7870,563,12027
Volkswagen,Up,17.07,5.12,51.38,999.0,petrol,4380,4380,424,11989
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,7405,7405,542,11833
BMW,640i,114.88,8.0,235.0,2979.0,petrol,9618,9618,580,11777
Suzuki,Splash,13.15,4.8,55.4,1144.8,petrol,5000,5000,722,11729
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,6017,6017,735,11594
Mercedes,CLC,42.56,6.17,131.67,2313.67,petrol,5585,5585,655,11522
Daihatsu,Terios,26.2,4.62,77.0,1495.0,petrol,5239,5239,646,11419
Saab,900,37.01,4.59,114.68,2208.09,petrol,7787,7787,767,11168
Volvo,850,36.38,4.5,125.71,2294.76,petrol,8700,8700,553,11088
Smart,City-coupe,13.21,6.0,35.8,679.0,petrol,5040,5040,667,11026
Mazda,626,20.72,4.72,81.38,1950.91,petrol,7590,7590,584,10502
Volvo,940,30.24,4.5,110.0,2316.0,petrol,8088,8088,549,10499
Chevrolet,Spark,11.4,5.0,52.5,1047.75,petrol,4035,4035,522,10020
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,7716,7716,525,9991
Suzuki,Liana,18.88,4.67,74.0,1523.33,petrol,5584,5584,601,9851
Audi,A8,116.54,8.0,230.0,2981.0,petrol,8506,8506,534,9787
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,5613,5613,538,9643
Jaguar,XKR,171.13,6.0,375.0,5000.0,petrol,7853,7853,428,9262
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,5829,5829,450,9000
Peugeot,208,22.85,6.52,73.24,1241.86,petrol,3960,3960,313,8984
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,6369,6369,397,8839
Kia,Venga,23.59,5.25,81.17,1509.75,petrol,5079,5079,197,8715
Nissan,Pathfinder,60.96,5.5,146.0,2588.6,diesel,6134,6134,317,8584
Bentley,Continental,285.25,7.2,428.2,5577.8,petrol,7068,7068,393,8414
Citroen,C8,45.59,5.25,104.17,2027.83,petrol,5148,5148,443,8401
Peugeot,807,45.76,5.31,109.08,2053.0,diesel,5155,5155,472,8225
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,6395,6395,398,8159
Audi,S3,60.87,6.75,228.0,1984.0,petrol,6410,6410,321,8099
Alfa-Romeo,159,43.26,5.91,135.38,2276.0,diesel,6455,6455,379,7838
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,5825,5825,409,7575
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,4738,4738,361,7548
Chrysler,300C,70.32,4.5,199.0,4123.5,petrol,6298,6298,255,7323
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,3408,3408,455,7235
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,4403,4403,397,7112
Hyundai,Trajet,30.35,4.4,99.0,2117.6,petrol,4513,4513,377,7105
Peugeot,1007,18.66,5.0,59.58,1407.33,petrol,3140,3140,390,7016
Nissan,350Z,55.42,6.0,221.0,3498.0,petrol,5844,5844,221,6929
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,5128,5128,307,6767
Jaguar,XK,145.65,6.0,283.0,5000.0,petrol,5486,5486,308,6688
Ford,Maverick,29.15,5.0,89.0,2526.5,petrol,4943,4943,294,6653
Chevrolet,Tacuma,20.2,4.78,82.33,1775.78,petrol,3835,3835,391,6546
Ford,Cougar,32.12,4.67,115.33,2362.0,petrol,4707,4707,302,6318
Porsche,Cayman,84.6,6.5,220.5,3071.0,petrol,4988,4988,320,6315
Peugeot,405,20.43,4.79,69.88,1773.0,petrol,4954,4954,245,6306
Alfa-Romeo,GT,37.35,5.38,121.06,1972.81,petrol,4980,4980,308,6302
Hyundai,Ix20,27.41,6.0,89.0,1552.0,petrol,3529,3529,130,5831
Rover,Streetwise,20.74,5.0,75.0,1695.0,petrol,3201,3201,311,5818
Dodge,Caliber,26.59,4.12,108.62,1911.75,petrol,3594,3594,252,5776
Audi,S4,95.3,6.33,253.67,3764.33,petrol,4728,4728,214,5608
Peugeot,5008,42.51,7.14,99.52,1294.14,petrol,3308,3308,279,5458
Lotus,Elise,53.79,6.0,134.33,1730.0,petrol,4700,4700,234,5440
Citroen,AX,10.83,5.0,45.0,1242.0,petrol,2884,2884,262,5436
Kia,Cerato,19.9,4.8,94.0,1742.6,petrol,3362,3362,243,5420
Toyota,Picnic,25.3,4.5,94.0,1998.0,petrol,3349,3349,397,5177
Peugeot,RCZ,38.94,6.0,135.56,1642.33,petrol,2592,2592,269,5172
Ford,Sierra,18.3,4.88,70.25,1836.5,petrol,4386,4386,118,5059
Chrysler,Neon,19.72,4.0,98.0,1995.0,petrol,3120,3120,318,5056
Smart,Roadster-coupe,24.35,6.0,60.0,698.0,petrol,3098,3098,339,5041
Audi,80,27.1,4.67,91.75,2247.33,petrol,3886,3886,225,5022
Fiat,Ulysse,36.7,4.88,91.75,2019.75,petrol,3386,3386,264,4996
BMW,X6,125.5,8.0,282.25,3344.75,petrol,3694,3694,219,4818
Aston-Martin,Vantage,360.76,6.0,410.0,5341.0,petrol,4020,4020,182,4539
Alfa-Romeo,Spider,55.2,6.0,163.5,2696.5,petrol,3059,3059,263,4453
Toyota,Urban,20.21,6.0,74.0,1329.0,petrol,1965,1965,302,4195
Honda,Prelude,27.79,4.67,110.67,2050.33,petrol,2917,2917,198,4094
Fiat,Cinquecento,7.71,5.0,29.0,899.0,petrol,1961,1961,219,3937
Kia,Magentis,28.8,4.8,111.2,2126.8,petrol,3048,3048,162,3920
Saab,9000,41.62,4.6,125.36,2336.52,petrol,3126,3126,242,3920
Mitsubishi,Space,23.17,3.95,82.16,1817.32,petrol,2488,2488,249,3831
Hyundai,Terracan,44.63,4.33,127.67,3100.33,diesel,2917,2917,90,3821
Peugeot,806,29.57,5.0,84.0,1997.14,diesel,2667,2667,186,3817
Aston-Martin,DB9,273.76,6.0,381.0,5935.0,petrol,3310,3310,148,3744
Peugeot,607,48.1,5.11,117.79,2315.0,petrol,3058,3058,208,3724
Hyundai,Elantra,19.06,4.6,89.2,1827.8,petrol,2674,2674,148,3717
Hyundai,Lantra,16.45,4.67,78.0,1741.0,petrol,2359,2359,195,3623
Volvo,440,20.28,4.11,72.85,1832.89,petrol,2328,2328,204,3622
Abarth,500C,21.11,5.0,60.62,1039.5,petrol,2081,2081,155,3609
Honda,Stream,27.94,5.0,103.5,1833.0,petrol,2192,2192,291,3603
Chrysler,Crossfire,56.16,5.5,174.33,3199.0,petrol,2215,2215,182,3565
Mitsubishi,Galant,25.08,4.53,93.6,2127.33,petrol,2807,2807,146,3558
Mitsubishi,Grandis,30.84,4.6,121.0,2378.0,petrol,2229,2229,210,3514
Mercedes,Viano,57.23,5.23,120.43,2309.34,diesel,2664,2664,210,3503
BMW,M550i,134.79,8.0,390.0,4395.0,petrol,3175,3175,129,3496
Fiat,Idea,20.31,5.35,63.29,1344.82,diesel,1751,1751,209,3458
Seat,Cordoba,17.31,4.97,66.35,1655.74,petrol,2292,2292,172,3427
Volkswagen,Transporter,35.38,6.0,103.08,1968.0,diesel,2563,2563,195,3425
Seat,Exeo,33.86,5.38,116.25,1925.25,petrol,2819,2819,103,3407
Skoda,Citigo,12.68,5.0,45.0,999.0,petrol,1526,1526,136,3360
Suzuki,Baleno,17.59,4.08,73.08,1363.5,petrol,2021,2021,162,3315
Volvo,V60,50.48,7.3,150.61,1969.0,diesel,2419,2419,225,3266
Hyundai,Sonata,31.74,4.83,119.67,2116.0,petrol,2482,2482,144,3265
